Nama,Dropoff,Layanan 12 Jam,Fullday,Bulanan
hiace commuter,800.000,1.350.000,1.400.000,26.000.000
hiace premio,1.600.000,2.350.000,2.400.000,32.000.000
hiace vip,3.200.000,4.050.000,4.100.000,66.000.000
hiace luxury ,3.200.000,4.050.000,4.100.000,66.000.000
mercy sprinter,3.500.000,5.000.000,5.500.000,80.000.000
isuzu elf short,600.000,900.000,950.000,20.000.000
isuzu elf long,750.000,1.150.000,1.200.000,22.000.000
isuzu elf giga,800.000,1.350.000,1.400.000,26.000.000
isuzu elf giga vip,1.500.000,2.300.000,2.400.000,32.000.000
medium bus,1.500.000,2.200.000,2.400.000,46.000.000
medium bus vip,2.500.000,3.200.000,3.400.000,60.000.000
medium bus luxury,2.500.000,3.200.000,3.400.000,60.000.000
big bus,3.300.000,5.300.000,5.500.000,76.000.000
big bus vip,4.000.000,6.300.000,6.500.000,80.000.000
big bus luxury,4.000.000,6.300.000,6.500.000,80.000.000
sleeper bus,4.000.000,6.300.000,6.500.000,80.000.000
minibus,1.500.000,2.200.000,2.400.000,46.000.000
bus mini,1.500.000,2.200.000,2.400.000,46.000.000
bus mewah,4.000.000,6.300.000,6.500.000,80.000.000
